#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,03696374844476613
1,5;0,0025623957792532954
2,5;0,012720397335688367
3,5;0,03387561763576262
4,5;0,022066157809927003
5,5;0,02279675527938015
6,5;0,017167752116788018
7,5;0,019742008939386355
8,5;0,009732238177735905
9,5;0,007377173201630059
10,5;0,002085116306954925
11,5;0,010915152987979014
12,5;0,003776513986768921
13,5;9,97286257190402E-4
14,5;0,009676723452618502
15,5;0,00635510656890935
16,5;0,024755753458369934
17,5;0,02940064180908784
18,5;0,03704844966210875
19,5;0,07218948466443169
20,5;0,032092911029337666
21,5;0,02191570197018467
22,5;0,017751971529813948
23,5;0,012273019653335474
24,5;0,009320719190933316
25,5;0,016287991620275482
26,5;0,0016055795426704743
27,5;0,004260638623726379
28,5;0,001183480599013646
29,5;0,01750984618305249
30,5;0,0054924018188578705
31,5;2,3136656547715284E-4
32,5;0,009400451434358522
33,5;0,0199629538516031
34,5;0,005354906352973281
35,5;0,0033163576865363874
36,5;0,0027543975177316367
37,5;4,293574565886913E-4
38,5;5,969247422047228E-4
39,5;0,006327368261412869
40,5;0,00955366292925269
41,5;0,0011162132978284561
42,5;0,008618161978424141
43,5;0,014596359416618776
44,5;9,610787074240688E-4
45,5;0,009943338951654912
46,5;0,02902419586296248
47,5;0,053946783719939974
48,5;0,06957338585674593
49,5;0,05875259353688113
50,5;0,047260377044626864
51,5;0,04582007524855797
52,5;0,0655947211122054
53,5;0,014966232832052203
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
