#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX;alpha;tz(1-alpha/2);lowerBound;upperBound
individual waiting-time;0;0.0;0.0;0.0;0.0;Infinity;-Infinity;0.05;0.0;NaN;NaN
batch waiting-time;298;1120.0670234899326;1283019.4027402566;1132.704463988845;1.0112827538297988;2.641;7913.604;0.05;1.9839952715271527;989.8855710147558;1250.2484759651093
