#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
DiscreteAutocorrelationCounter (lag=0);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.854763316441635E8;0.9966442953020127
DiscreteAutocorrelationCounter (lag=1);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.835847470281998E8;0.9917536266362085
DiscreteAutocorrelationCounter (lag=2);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.816057260997938E8;0.9866368924643169
DiscreteAutocorrelationCounter (lag=3);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.795322622824962E8;0.9812759773694508
DiscreteAutocorrelationCounter (lag=4);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.773106356769644E8;0.9755319892152355
DiscreteAutocorrelationCounter (lag=5);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.7523979859134567E8;0.9701778655026883
DiscreteAutocorrelationCounter (lag=6);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.7299627747171056E8;0.9643772693526295
DiscreteAutocorrelationCounter (lag=7);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.7050705807475126E8;0.9579414233406239
DiscreteAutocorrelationCounter (lag=8);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.681942215033499E8;0.951961612945985
DiscreteAutocorrelationCounter (lag=9);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.658989053156682E8;0.946027101287098
DiscreteAutocorrelationCounter (lag=10);298;30575.884906040254;3.867742317507098E8;19666.57651322949;0.6432054729949734;0.0;58114.8;3.6373206016997945E8;0.9404247499208225
