#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
DiscreteAutocorrelationCounter (lag=0);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.84689561004019E8;0.9966777408637872
DiscreteAutocorrelationCounter (lag=1);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.8283923869847274E8;0.9918838102706395
DiscreteAutocorrelationCounter (lag=2);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.808991420820582E8;0.9868572867859398
DiscreteAutocorrelationCounter (lag=3);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.788391012868304E8;0.9815200044315237
DiscreteAutocorrelationCounter (lag=4);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.7664539586072576E8;0.9758364154032584
DiscreteAutocorrelationCounter (lag=5);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.744933291092478E8;0.9702607064538057
DiscreteAutocorrelationCounter (lag=6);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.722283390648513E8;0.9643924287843098
DiscreteAutocorrelationCounter (lag=7);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.69814646425527E8;0.9581388831444888
DiscreteAutocorrelationCounter (lag=8);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.6773684906388867E8;0.9527555959688101
DiscreteAutocorrelationCounter (lag=9);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.6577126014472616E8;0.9476630254340008
DiscreteAutocorrelationCounter (lag=10);301;30751.195471760784;3.859718595406991E8;19646.16653550252;0.6388748871094735;0.0;58114.8;3.637295983888674E8;0.9423733606426652
