#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX;alpha;tz(1-alpha/2);lowerBound;upperBound
individual waiting-time;78;2.8112435897435897;6.731066160672666;2.5944298334456195;0.9228762114072991;0.0;9.387;0.05;1.9912;2.2263060260406338;3.3961811534465456
individual waiting-time;13611142;17.95805540029306;350.5629677191179;18.72332683363504;1.0426143820298879;0.0;192.334;0.05;1.96;17.94810840740728;17.96800239317884
batch waiting-time;13476378;17.95805585165438;350.8011075173128;18.729685195360673;1.0429684232012904;0.0;192.334;0.05;1.96;17.948055852638923;17.968055850669835
