#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
DiscreteAutocorrelationCounter (lag=0);3;0.22066666666666668;0.14608133333333334;0.38220587820353225;1.7320508075688772;0.0;0.662;0.09738755555555556;0.6666666666666666
DiscreteAutocorrelationCounter (lag=1);3;0.22066666666666668;0.14608133333333334;0.38220587820353225;1.7320508075688772;0.0;0.662;-0.02434688888888889;-0.16666666666666666
DiscreteAutocorrelationCounter (lag=2);3;0.22066666666666668;0.14608133333333334;0.38220587820353225;1.7320508075688772;0.0;0.662;-0.09738755555555556;-0.6666666666666666
DiscreteAutocorrelationCounter (lag=3);3;0.22066666666666668;0.14608133333333334;0.38220587820353225;1.7320508075688772;0.0;0.662;NaN;NaN
