#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,09744865635887329
1,0;2,0;0,044899954819804376
2,0;3,0;0,042817183605440325
3,0;4,0;0,04060473596875576
4,0;5,0;0,03862145765005091
5,0;6,0;0,03687130732869739
6,0;7,0;0,034802703623411924
7,0;8,0;0,03301830375037833
8,0;9,0;0,03145160572908671
9,0;10,0;0,030124901123577578
10,0;11,0;0,028514297674435047
11,0;12,0;0,027214833290814384
12,0;13,0;0,025713438517781424
13,0;14,0;0,02443702499523218
14,0;15,0;0,023294165565447493
15,0;16,0;0,02209721668635416
16,0;17,0;0,02102306176282727
17,0;18,0;0,01994242300936625
18,0;19,0;0,01897809426396291
19,0;20,0;0,01800202839488293
20,0;21,0;0,01721590747389704
21,0;22,0;0,016327636411580394
22,0;23,0;0,015429506421688092
23,0;24,0;0,014675167043095244
24,0;25,0;0,013893999365368302
25,0;26,0;0,0131225804477785
26,0;27,0;0,012494081677634288
27,0;28,0;0,01176639946828571
28,0;29,0;0,011283958795177938
29,0;30,0;0,01075329353099865
30,0;31,0;0,010238844396440903
31,0;32,0;0,009742438795360808
32,0;33,0;0,009247319402064786
33,0;34,0;0,008794270390411902
34,0;35,0;0,008308649264480595
35,0;36,0;0,007849566851342856
36,0;37,0;0,007377438414838713
37,0;38,0;0,006958205163228323
38,0;39,0;0,006600149877238825
39,0;40,0;0,006249896374120564
40,0;41,0;0,00591927477909113
41,0;42,0;0,005632731035123477
42,0;43,0;0,0052887098697824665
43,0;44,0;0,00503141275895016
44,0;45,0;0,004789289360973218
45,0;46,0;0,00455043712465526
46,0;47,0;0,004305762944844097
47,0;48,0;0,0041371027691405405
48,0;49,0;0,00393081506353667
49,0;50,0;0,0037381646641682646
50,0;51,0;0,0035074673461554734
51,0;52,0;0,0033332983870147355
52,0;53,0;0,0032261433871576817
53,0;54,0;0,0030361994384480425
54,0;55,0;0,0029025492872018703
55,0;56,0;0,002727739193544331
56,0;57,0;0,002627986810652676
57,0;58,0;0,0024964418333517317
58,0;59,0;0,002360030206514855
59,0;60,0;0,0022714632870847597
60,0;61,0;0,0021539908773398754
61,0;62,0;0,002052865751728449
62,0;63,0;0,0019040634037861973
63,0;64,0;0,0018232581154874743
64,0;65,0;0,0017567395569532019
65,0;66,0;0,0016761496066092783
66,0;67,0;0,0015683986796848472
67,0;68,0;0,0015005633439598696
68,0;69,0;0,0014256427840125894
69,0;70,0;0,001387669937391967
70,0;71,0;0,0013195137404719865
71,0;72,0;0,0012942986241982937
72,0;73,0;0,0012013482870063456
73,0;74,0;0,0011771238546568353
74,0;75,0;0,0011040448075225753
75,0;76,0;0,001037142720509703
76,0;77,0;0,0010111460855979802
77,0;78,0;9,645854696317355E-4
78,0;79,0;8,87565026598068E-4
79,0;80,0;0,01873416609524823
