#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,09744865635887329
1,5;0,044899954819804376
2,5;0,042817183605440325
3,5;0,04060473596875576
4,5;0,03862145765005091
5,5;0,03687130732869739
6,5;0,034802703623411924
7,5;0,03301830375037833
8,5;0,03145160572908671
9,5;0,030124901123577578
10,5;0,028514297674435047
11,5;0,027214833290814384
12,5;0,025713438517781424
13,5;0,02443702499523218
14,5;0,023294165565447493
15,5;0,02209721668635416
16,5;0,02102306176282727
17,5;0,01994242300936625
18,5;0,01897809426396291
19,5;0,01800202839488293
20,5;0,01721590747389704
21,5;0,016327636411580394
22,5;0,015429506421688092
23,5;0,014675167043095244
24,5;0,013893999365368302
25,5;0,0131225804477785
26,5;0,012494081677634288
27,5;0,01176639946828571
28,5;0,011283958795177938
29,5;0,01075329353099865
30,5;0,010238844396440903
31,5;0,009742438795360808
32,5;0,009247319402064786
33,5;0,008794270390411902
34,5;0,008308649264480595
35,5;0,007849566851342856
36,5;0,007377438414838713
37,5;0,006958205163228323
38,5;0,006600149877238825
39,5;0,006249896374120564
40,5;0,00591927477909113
41,5;0,005632731035123477
42,5;0,0052887098697824665
43,5;0,00503141275895016
44,5;0,004789289360973218
45,5;0,00455043712465526
46,5;0,004305762944844097
47,5;0,0041371027691405405
48,5;0,00393081506353667
49,5;0,0037381646641682646
50,5;0,0035074673461554734
51,5;0,0033332983870147355
52,5;0,0032261433871576817
53,5;0,0030361994384480425
54,5;0,0029025492872018703
55,5;0,002727739193544331
56,5;0,002627986810652676
57,5;0,0024964418333517317
58,5;0,002360030206514855
59,5;0,0022714632870847597
60,5;0,0021539908773398754
61,5;0,002052865751728449
62,5;0,0019040634037861973
63,5;0,0018232581154874743
64,5;0,0017567395569532019
65,5;0,0016761496066092783
66,5;0,0015683986796848472
67,5;0,0015005633439598696
68,5;0,0014256427840125894
69,5;0,001387669937391967
70,5;0,0013195137404719865
71,5;0,0012942986241982937
72,5;0,0012013482870063456
73,5;0,0011771238546568353
74,5;0,0011040448075225753
75,5;0,001037142720509703
76,5;0,0010111460855979802
77,5;9,645854696317355E-4
78,5;8,87565026598068E-4
79,5;0,01873416609524823
