#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,0959395993052343
1,5;0,04397508875519165
2,5;0,04195097893457623
3,5;0,03991851320833476
4,5;0,037835540674753615
5,5;0,035924142736694024
6,5;0,03419997898025518
7,5;0,03266775347082656
8,5;0,031106870299880456
9,5;0,029663898241657494
10,5;0,028261220217231264
11,5;0,026811625330104692
12,5;0,02561116022182887
13,5;0,024296312049872006
14,5;0,023116086801890392
15,5;0,021930167158963614
16,5;0,020882893653832037
17,5;0,019819898667004038
18,5;0,018922660089557976
19,5;0,018010380881985026
20,5;0,017169652984809953
21,5;0,01634792703598449
22,5;0,015489249415612718
23,5;0,014733504173434435
24,5;0,01396736047092151
25,5;0,013326307770410413
26,5;0,012583684394844889
27,5;0,012003970231188722
28,5;0,011418747359379084
29,5;0,010809013831066366
30,5;0,010363798800190985
31,5;0,009889492838617505
32,5;0,009348772901216235
33,5;0,008860107161085396
34,5;0,008447511109950226
35,5;0,008031882174550784
36,5;0,0075818392870914625
37,5;0,007208856418183491
38,5;0,006840206241081618
39,5;0,006424267827696027
40,5;0,006130511323242453
41,5;0,0057780777926148405
42,5;0,005512298098109225
43,5;0,005234510657740991
44,5;0,004996831564377796
45,5;0,004717868107662192
46,5;0,004460691901171547
47,5;0,0042597787925629715
48,5;0,004050200300342196
49,5;0,0038806063639319995
50,5;0,003703275477868053
51,5;0,003525201844637347
52,5;0,0033156852480138014
53,5;0,0032010546019438438
54,5;0,0030065167398499576
55,5;0,002857719724109041
56,5;0,002697657709672264
57,5;0,0025725667076704367
58,5;0,002452798727030389
59,5;0,0023443576406834313
60,5;0,0022400635593508834
61,5;0,0021563807118959253
62,5;0,002031413501088558
63,5;0,0019726745793172892
64,5;0,0018889917318623307
65,5;0,0017791270467790831
66,5;0,0017026859842000346
67,5;0,001631877420968916
68,5;0,0015481945735139578
69,5;0,0014734246920601194
70,5;0,0013880706634799512
71,5;0,0013345928674732322
72,5;0,0012737494953961436
73,5;0,0012252852427650546
74,5;0,0011701981612303558
75,5;0,0011142445413344368
76,5;0,0010645423767587478
77,5;0,0010243102385592488
78,5;9,976951317503494E-4
79,5;0,020593346049990104
