#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
service time/customer;11;836.9442727272726;1409252.4536798187;1187.119393186641;1.41839717633563;12.659;3489.595
mean waiting-time;11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007
batch waiting-time;11;836.9442727272726;1409252.4536798187;1187.119393186641;1.41839717633563;12.659;3489.595
