#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX;alpha;tz(1-alpha/2);lowerBound;upperBound
individual waiting-time;38;31.5246842105263;13.014459465150594;3.6075558852428875;0.1144359087358693;25.06;35.754;0.05;2.0273;30.338261941900207;32.71110647915239
individual waiting-time;16317801;19.149920458326843;420.2970887171809;20.501148473126594;1.0705605027310807;0.0;225.517;0.05;1.96;19.139973198867686;19.159867717786
batch waiting-time;16156238;19.149921920064056;420.56006545976146;20.50756117776469;1.0708952894621564;0.0;225.517;0.05;1.96;19.13992192084558;19.15992191928253
