#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX;alpha;tz(1-alpha/2);lowerBound;upperBound
individual waiting-time;19;0.0;0.0;0.0;0.0;0.0;0.0;0.05;2.1144;0.0;0.0
individual waiting-time;4565;0.05915104271631983;0.11357254927893003;0.337005265951335;5.697368135462385;0.0;5.537;0.05;1.9838928532853286;0.04925561640447944;0.06904646902816022
batch waiting-time;4519;0.059161540163753044;0.11471699691803461;0.33869897684822525;5.724985791626476;0.0;5.537;0.05;1.9838939573957395;0.04916588722023094;0.06915719310727514
