#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX;alpha;tz(1-alpha/2);lowerBound;upperBound
individual waiting-time;11;0.08290909090909092;0.07561309090909091;0.2749783462549204;3.3166247903553994;0.0;0.912;0.05;2.228;-0.10181236363636363;0.26763054545454545
individual waiting-time;45563;0.05338797467243153;0.10481587947784353;0.3237528061312265;6.064152238732627;0.0;8.847;0.05;1.982908802880288;0.05038044357654875;0.056395505768314313
batch waiting-time;45111;0.05338921770743274;0.10585518621404333;0.32535393990859146;6.094000884064205;0.0;8.847;0.05;1.9829196519651966;0.050351692015684534;0.05642674339918095
