#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX
waiting time/customer;3;0.0;0.0;0.0;0.0;0.0;0.0
service time/customer;3;1.2283333333333333;0.9155103333333331;0.9568230418072785;0.7789604139543652;0.508;2.314
mean waiting-time;0;0.0;0.0;0.0;0.0;Infinity;-Infinity
