#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
DiscreteAutocorrelationCounter (lag=0);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;8201916.324360631;0.9523809523809522
DiscreteAutocorrelationCounter (lag=1);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;7419126.073864581;0.8614857890070357
DiscreteAutocorrelationCounter (lag=2);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;6855563.696303566;0.7960466827492096
DiscreteAutocorrelationCounter (lag=3);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;6311565.5744206775;0.7328793168650347
DiscreteAutocorrelationCounter (lag=4);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;4780833.546529576;0.5551354861662258
DiscreteAutocorrelationCounter (lag=5);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;3160932.2822392303;0.36703760174063554
DiscreteAutocorrelationCounter (lag=6);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;1599029.3029053453;0.1856742973423052
DiscreteAutocorrelationCounter (lag=7);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;-927411.3020259365;-0.10768810899094032
DiscreteAutocorrelationCounter (lag=8);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;-2688124.2444978524;-0.31213660647687264
DiscreteAutocorrelationCounter (lag=9);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;-4092440.258301446;-0.4752014037484234
DiscreteAutocorrelationCounter (lag=10);21;3657.103809523809;8612012.140578665;2934.622998032058;0.8024445437916554;0.0;7409.612;-6124124.238930276;-0.7111142133757813
