#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
DiscreteAutocorrelationCounter (lag=0);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;3243634.0586150903;0.9090909090909093
DiscreteAutocorrelationCounter (lag=1);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;2625222.898050599;0.7357692723124459
DiscreteAutocorrelationCounter (lag=2);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;1414726.4381035552;0.3965043283210646
DiscreteAutocorrelationCounter (lag=3);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-34955.55566700059;-0.009796967631009328
DiscreteAutocorrelationCounter (lag=4);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-872395.151662857;-0.24450554137118247
DiscreteAutocorrelationCounter (lag=5);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-1287963.7826373337;-0.36097665299946324
DiscreteAutocorrelationCounter (lag=6);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-1905767.177264801;-0.5341279516700453
DiscreteAutocorrelationCounter (lag=7);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-2776987.2450085003;-0.7783041531437483
DiscreteAutocorrelationCounter (lag=8);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-3629053.559755669;-1.017112146487477
DiscreteAutocorrelationCounter (lag=9);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-3723491.8932740027;-1.0435803080987376
DiscreteAutocorrelationCounter (lag=10);11;1271.968;3567997.4644765984;1888.914361340026;1.4850329264101187;0.0;4222.007;-3739631.7108480027;-1.0481038027857965
