#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
DiscreteAutocorrelationCounter (lag=0);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;7992598.726650499;0.9375
DiscreteAutocorrelationCounter (lag=1);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;7098222.964102931;0.8325932849171411
DiscreteAutocorrelationCounter (lag=2);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;5925576.971884212;0.6950465801089339
DiscreteAutocorrelationCounter (lag=3);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;5305826.093333999;0.6223522702215271
DiscreteAutocorrelationCounter (lag=4);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;3192954.3793760845;0.3745208327153861
DiscreteAutocorrelationCounter (lag=5);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;598250.8373269076;0.07017244067612768
DiscreteAutocorrelationCounter (lag=6);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;-1269269.5838461015;-0.1488802673012955
DiscreteAutocorrelationCounter (lag=7);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;-4071166.798456449;-0.47753165198028324
DiscreteAutocorrelationCounter (lag=8);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;-6998949.287235377;-0.8209488779793823
DiscreteAutocorrelationCounter (lag=9);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;-8204189.709677145;-0.9623187796449794
DiscreteAutocorrelationCounter (lag=10);16;2866.25;8525438.641760532;2919.835379222694;1.0186952914863303;0.0;7409.612;-8940834.73155567;-1.048724307012238
