#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,03660365149942092
1,0;2,0;0,002537433189372744
2,0;3,0;0,012596476564205915
3,0;4,0;0,03354560493560186
4,0;5,0;0,021851191623942553
5,0;6,0;0,022574671689774683
6,0;7,0;0,01700050568330098
7,0;8,0;0,019549684366983375
8,0;9,0;0,009637427738139621
9,0;10,0;0,007305305557060433
10,0;11,0;0,0020648033234395785
11,0;12,0;0,010808818716853342
12,0;13,0;0,0037397235851482353
13,0;14,0;9,875707994795684E-4
14,0;15,0;0,00958245383162903
15,0;16,0;0,0062931957898597875
16,0;17,0;0,024514585514772473
17,0;18,0;0,02911422385224937
18,0;19,0;0,03668752756642259
19,0;20,0;0,07148622230583863
20,0;21,0;0,031780265269231146
21,0;22,0;0,021702201509149126
22,0;23,0;0,017579033692319106
23,0;24,0;0,01215345718812901
24,0;25,0;0,00922991772597662
25,0;26,0;0,01612931572091333
26,0;27,0;0,001589938155821185
27,0;28,0;0,004219131930867124
28,0;29,0;0,001171951255629629
29,0;30,0;0,01733926710519183
30,0;31,0;0,005438895418647011
31,0;32,0;2,2911261675742737E-4
32,0;33,0;0,00930887322628158
33,0;34,0;0,019768476857129135
34,0;35,0;0,005302739419113835
35,0;36,0;0,003284050079141582
36,0;37,0;0,002727564467131163
37,0;38,0;4,2517470145470357E-4
38,0;39,0;5,911095642178341E-4
39,0;40,0;0,006265727706034303
40,0;41,0;0,009460592150924504
41,0;42,0;0,0011053392654098461
42,0;43,0;0,008534204751857738
43,0;44,0;0,014454163220068546
44,0;45,0;9,517159798506771E-4
45,0;46,0;0,009846471990546427
46,0;47,0;0,03422468668458481
47,0;48,0;0,05652342634775875
48,0;49,0;0,07005207596851021
49,0;50,0;0,05818023195684946
50,0;51,0;0,04679997142761908
51,0;52,0;0,04537370089999458
52,0;53,0;0,0649557042457593
53,0;54,0;0,014820433367633699
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
