#histogram type: continuous-time histogram
#queue_occupancy_over_time
#(lowerBound+upperBound)/2 ; probability
0,5;0,03660365149942092
1,5;0,002537433189372744
2,5;0,012596476564205915
3,5;0,03354560493560186
4,5;0,021851191623942553
5,5;0,022574671689774683
6,5;0,01700050568330098
7,5;0,019549684366983375
8,5;0,009637427738139621
9,5;0,007305305557060433
10,5;0,0020648033234395785
11,5;0,010808818716853342
12,5;0,0037397235851482353
13,5;9,875707994795684E-4
14,5;0,00958245383162903
15,5;0,0062931957898597875
16,5;0,024514585514772473
17,5;0,02911422385224937
18,5;0,03668752756642259
19,5;0,07148622230583863
20,5;0,031780265269231146
21,5;0,021702201509149126
22,5;0,017579033692319106
23,5;0,01215345718812901
24,5;0,00922991772597662
25,5;0,01612931572091333
26,5;0,001589938155821185
27,5;0,004219131930867124
28,5;0,001171951255629629
29,5;0,01733926710519183
30,5;0,005438895418647011
31,5;2,2911261675742737E-4
32,5;0,00930887322628158
33,5;0,019768476857129135
34,5;0,005302739419113835
35,5;0,003284050079141582
36,5;0,002727564467131163
37,5;4,2517470145470357E-4
38,5;5,911095642178341E-4
39,5;0,006265727706034303
40,5;0,009460592150924504
41,5;0,0011053392654098461
42,5;0,008534204751857738
43,5;0,014454163220068546
44,5;9,517159798506771E-4
45,5;0,009846471990546427
46,5;0,03422468668458481
47,5;0,05652342634775875
48,5;0,07005207596851021
49,5;0,05818023195684946
50,5;0,04679997142761908
51,5;0,04537370089999458
52,5;0,0649557042457593
53,5;0,014820433367633699
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,0
58,5;0,0
59,5;0,0
60,5;0,0
61,5;0,0
62,5;0,0
63,5;0,0
64,5;0,0
65,5;0,0
66,5;0,0
67,5;0,0
68,5;0,0
69,5;0,0
70,5;0,0
71,5;0,0
72,5;0,0
73,5;0,0
74,5;0,0
75,5;0,0
76,5;0,0
77,5;0,0
78,5;0,0
79,5;0,0
